imdb_id,title,year,runtime,rating,votes,plot
tt5359624,Crd,(2016),108 min,6.0,127,"Set in the world of College Theatre, CRD probes fascism and fierce competition in arts."
tt0213524,Bluff Master,(1963),135 min,5.9,127,An inveterate con man falls in love and realizes the error of his ways after his mother comes to know the truth about him.
tt0186857,Banjaran,(1991),145 min,4.7,127,"Reshma and Kumar are mysteriously haunted by each other from their past lives. When they finally meet, they instantly fall in love, but their fathers attempt to separate them."
tt0148841,Shikar,(1968),139 min,6.5,127,"Manager Ajay Singh find out that a man by the name of Naresh is murdered and inform police inspector Rai, but all evidences are tampered with at the crime scene and as a result the murderer...                See full summary »"
tt3814100,M.A.D: Mad About Dance,(2014),125 min,5.1,126,Mad About Dance is an 2014 Indian dance film. The film is directed by Saahil Prem.
tt1431729,Mohandas,(2009),112 min,7.0,126,"Born in a poor family, young Mohandas lands an important job at the 'Oriental Coal Mines'. However, his success story is brutally disrupted when somebody steals his identity and takes his ...                See full summary »"
tt0284456,Samadhi,(1972),139 min,7.0,126,"Lakhan Singh gives his life of a Dacoit and lives a happy life with his wife Champa when his son Jaswant becomes three years old, Champa becomes ill with cancer and circumstances force him to be again a Dacoit."
tt0225013,Aa Gale Lag Jaa,(1994),158 min,4.6,126,"Mamtaram lives a comfortable life with his only son, Suraj. Mamtaram is a miser. Period. He would do anything to procure money and wealth at any cost. And he would like Suraj to get married...                See full summary »"
tt0077226,Besharam,(1978),139 min,5.1,126,"In order to prevent honest Ramchandra from being elected as Mayor, Digvijay Singh alias Dharamdas sets his men upon him, his son, Ram Kumar, and his wife, all in vain, as Ramchandra wins. ...                See full summary »"
tt0060659,Mamta,(1966),150 min,7.0,126,"Monish Rai comes from a wealthy family, and is in love with Deviyani, who is poor. Monish has to travel abroad to further his education in law, but promises to stay in touch with Deviyani. ...                See full summary »"
tt3826186,Jaanisaar,(2015),124 min,4.9,125,"A love saga of a revolutionary courtesan of Avadh, India, and a prince brought up in England, set 20 years after the first war of Indian Rebellion of 1857"
tt1358852,Madholal Keep Walking,(2009),121 min,6.4,125,A man's life changes after he sustains an injury in a terrorist attack.
